Wall time,Step,Value
1658305694.401501,0,0.00992403831332922
1658305864.399267,1,0.013232051394879818
1658306033.846691,2,0.017152657732367516
1658306201.652761,3,0.023768683895468712
1658306369.50052,4,0.02989463321864605
1658306537.853012,5,0.03197745606303215
1658306705.775325,6,0.03638814017176628
1658306883.369204,7,0.04055378586053848
1658307056.655103,8,0.044719431549310684
1658307236.98132,9,0.044964469969272614
1658307422.865162,10,0.049130115658044815
1658307600.845488,11,0.05182553455233574
1658307996.765819,12,0.058196522295475006
1658308674.946653,13,0.05709385126829147
1658309148.628205,14,0.061259496957063675
