Wall time,Step,Value
1658305694.398369,0,4.793869495391846
1658305864.396048,1,4.776431083679199
1658306033.843703,2,4.741911888122559
1658306201.64945,3,4.680662155151367
1658306369.496572,4,4.603616714477539
1658306537.849952,5,4.540894985198975
1658306705.772264,6,4.492805004119873
1658306883.366124,7,4.457520484924316
1658307056.65206,8,4.435647964477539
1658307236.977447,9,4.414557933807373
1658307422.862106,10,4.3706488609313965
1658307600.842405,11,4.362264156341553
1658307996.760849,12,4.328994274139404
1658308674.942148,13,4.309085369110107
1658309148.622745,14,4.273678779602051
