image_id,healthy,multiple_diseases,rust,scab
Test_0,0.4,0.07,0.03,0.5
Test_1,0.0,0.08,0.92,0.0
Test_2,0.16,0.06,0.02,0.75
Test_3,0.35,0.06,0.04,0.56
Test_4,0.0,0.0,1.0,0.0
Test_5,0.44,0.06,0.03,0.48
Test_6,0.15,0.11,0.05,0.69
Test_7,0.15,0.09,0.03,0.73
Test_8,0.16,0.04,0.02,0.78
Test_9,0.02,0.07,0.91,0.0
Test_10,0.05,0.13,0.79,0.02
Test_11,0.72,0.06,0.06,0.16
Test_12,0.23,0.11,0.05,0.61
Test_13,0.21,0.09,0.04,0.65
Test_14,0.0,0.11,0.89,0.0
Test_15,0.0,0.01,0.99,0.0
Test_16,0.44,0.11,0.13,0.31
Test_17,0.16,0.08,0.07,0.69
Test_18,0.2,0.07,0.03,0.7
Test_19,0.0,0.09,0.91,0.0
Test_20,0.29,0.06,0.03,0.62
Test_21,0.17,0.04,0.02,0.77
Test_22,0.0,0.0,1.0,0.0
Test_23,0.14,0.07,0.04,0.76
Test_24,0.29,0.03,0.01,0.66
Test_25,0.2,0.1,0.04,0.66
Test_26,0.39,0.05,0.03,0.53
Test_27,0.0,0.02,0.98,0.0
Test_28,0.33,0.06,0.08,0.54
Test_29,0.03,0.45,0.44,0.08
Test_30,0.44,0.06,0.02,0.48
Test_31,0.0,0.09,0.91,0.0
Test_32,0.32,0.04,0.03,0.61
Test_33,0.26,0.08,0.03,0.62
Test_34,0.16,0.03,0.01,0.81
Test_35,0.13,0.03,0.01,0.83
Test_36,0.0,0.12,0.88,0.0
Test_37,0.28,0.04,0.02,0.66
Test_38,0.27,0.07,0.03,0.63
Test_39,0.0,0.04,0.96,0.0
Test_40,0.0,0.17,0.83,0.0
Test_41,0.0,0.06,0.94,0.0
Test_42,0.19,0.1,0.03,0.68
Test_43,0.05,0.11,0.83,0.01
Test_44,0.41,0.03,0.03,0.53
Test_45,0.4,0.09,0.46,0.04
Test_46,0.42,0.14,0.1,0.34
Test_47,0.0,0.0,1.0,0.0
Test_48,0.0,0.0,1.0,0.0
Test_49,0.0,0.26,0.74,0.0
Test_50,0.0,0.12,0.87,0.0
Test_51,0.0,0.06,0.94,0.0
Test_52,0.0,0.01,0.99,0.0
Test_53,0.0,0.0,1.0,0.0
Test_54,0.69,0.08,0.17,0.07
Test_55,0.2,0.05,0.01,0.74
Test_56,0.18,0.12,0.05,0.64
Test_57,0.27,0.08,0.03,0.62
Test_58,0.21,0.05,0.02,0.71
Test_59,0.36,0.14,0.46,0.03
Test_60,0.43,0.08,0.06,0.43
Test_61,0.42,0.07,0.05,0.45
Test_62,0.51,0.09,0.1,0.29
Test_63,0.34,0.23,0.14,0.29
Test_64,0.47,0.03,0.02,0.48
Test_65,0.0,0.26,0.73,0.0
Test_66,0.76,0.07,0.09,0.07
Test_67,0.0,0.15,0.85,0.0
Test_68,0.08,0.27,0.5,0.15
Test_69,0.0,0.02,0.98,0.0
Test_70,0.36,0.13,0.09,0.42
Test_71,0.52,0.13,0.13,0.22
Test_72,0.24,0.08,0.03,0.66
Test_73,0.46,0.06,0.1,0.38
Test_74,0.49,0.08,0.06,0.37
Test_75,0.54,0.04,0.09,0.33
Test_76,0.14,0.03,0.01,0.81
Test_77,0.01,0.13,0.85,0.01
Test_78,0.16,0.06,0.02,0.76
Test_79,0.72,0.04,0.13,0.12
Test_80,0.0,0.0,1.0,0.0
Test_81,0.02,0.44,0.51,0.03
Test_82,0.55,0.06,0.04,0.36
Test_83,0.0,0.1,0.9,0.0
Test_84,0.21,0.03,0.01,0.75
Test_85,0.31,0.04,0.02,0.63
Test_86,0.0,0.04,0.96,0.0
Test_87,0.63,0.03,0.04,0.3
Test_88,0.87,0.03,0.05,0.05
Test_89,0.23,0.04,0.02,0.72
Test_90,0.0,0.02,0.98,0.0
Test_91,0.24,0.15,0.06,0.54
Test_92,0.17,0.04,0.01,0.78
Test_93,0.0,0.01,0.99,0.0
Test_94,0.22,0.07,0.03,0.67
